campaign_id,client_id,duration,contact,pdays,previous,poutcome,y,date
1,0,261,telephone,999,0,nonexistent,no,2022-05-13
2,1,149,telephone,999,0,nonexistent,no,2022-05-19
3,2,226,telephone,999,0,nonexistent,no,2022-05-23
4,3,151,telephone,999,0,nonexistent,no,2022-05-27
5,4,307,telephone,999,0,nonexistent,no,2022-05-03
6,5,198,telephone,999,0,nonexistent,no,2022-05-05
7,6,139,telephone,999,0,nonexistent,no,2022-05-03
8,7,217,telephone,999,0,nonexistent,no,2022-05-12
9,8,380,telephone,999,0,nonexistent,no,2022-05-21
10,9,50,telephone,999,0,nonexistent,no,2022-05-05
11,10,55,telephone,999,0,nonexistent,no,2022-05-08
12,11,222,telephone,999,0,nonexistent,no,2022-05-09
13,12,137,telephone,999,0,nonexistent,no,2022-05-29
14,13,293,telephone,999,0,nonexistent,no,2022-05-14
15,14,146,telephone,999,0,nonexistent,no,2022-05-29
16,15,174,telephone,999,0,nonexistent,no,2022-05-29
17,16,312,telephone,999,0,nonexistent,no,2022-05-01
18,17,440,telephone,999,0,nonexistent,no,2022-05-09
19,18,353,telephone,999,0,nonexistent,no,2022-05-06
20,19,195,telephone,999,0,nonexistent,no,2022-05-02
21,20,38,telephone,999,0,nonexistent,no,2022-05-02
22,21,262,telephone,999,0,nonexistent,no,2022-05-16
23,22,342,telephone,999,0,nonexistent,no,2022-05-20
24,23,181,telephone,999,0,nonexistent,no,2022-05-10
25,24,172,telephone,999,0,nonexistent,no,2022-05-02
26,25,99,telephone,999,0,nonexistent,no,2022-05-28
27,26,93,telephone,999,0,nonexistent,no,2022-05-30
28,27,233,telephone,999,0,nonexistent,no,2022-05-16
29,28,255,telephone,999,0,nonexistent,no,2022-05-01
30,29,362,telephone,999,0,nonexistent,no,2022-05-22
31,30,348,telephone,999,0,nonexistent,no,2022-05-22
32,31,386,telephone,999,0,nonexistent,no,2022-05-27
33,32,73,telephone,999,0,nonexistent,no,2022-05-25
34,33,230,telephone,999,0,nonexistent,no,2022-05-14
35,34,208,telephone,999,0,nonexistent,no,2022-05-25
36,35,336,telephone,999,0,nonexistent,no,2022-05-22
37,36,365,telephone,999,0,nonexistent,no,2022-05-11
38,37,1666,telephone,999,0,nonexistent,no,2022-05-03
39,38,577,telephone,999,0,nonexistent,no,2022-05-02
40,39,137,telephone,999,0,nonexistent,no,2022-05-20
41,40,366,telephone,999,0,nonexistent,no,2022-05-05
42,41,314,telephone,999,0,nonexistent,no,2022-05-25
43,42,160,telephone,999,0,nonexistent,no,2022-05-22
44,43,212,telephone,999,0,nonexistent,no,2022-05-01
45,44,188,telephone,999,0,nonexistent,no,2022-05-17
46,45,22,telephone,999,0,nonexistent,no,2022-05-28
47,46,616,telephone,999,0,nonexistent,no,2022-05-15
48,47,178,telephone,999,0,nonexistent,no,2022-05-03
49,48,355,telephone,999,0,nonexistent,no,2022-05-26
50,49,225,telephone,999,0,nonexistent,no,2022-05-26
51,50,160,telephone,999,0,nonexistent,no,2022-05-03
52,51,266,telephone,999,0,nonexistent,no,2022-05-09
53,52,253,telephone,999,0,nonexistent,no,2022-05-11
54,53,179,telephone,999,0,nonexistent,no,2022-05-13
55,54,269,telephone,999,0,nonexistent,no,2022-05-12
56,55,135,telephone,999,0,nonexistent,no,2022-05-08
57,56,161,telephone,999,0,nonexistent,no,2022-05-17
58,57,787,telephone,999,0,nonexistent,no,2022-05-08
59,58,145,telephone,999,0,nonexistent,no,2022-05-08
60,59,174,telephone,999,0,nonexistent,no,2022-05-18
61,60,449,telephone,999,0,nonexistent,no,2022-05-03
62,61,812,telephone,999,0,nonexistent,no,2022-05-23
63,62,164,telephone,999,0,nonexistent,no,2022-05-27
64,63,366,telephone,999,0,nonexistent,no,2022-05-29
65,64,357,telephone,999,0,nonexistent,no,2022-05-19
66,65,232,telephone,999,0,nonexistent,no,2022-05-15
